Scientific Name,Type Specimen,Synonyms,Repository,Other Notes,Questionable ID
Aaptos vannamei,,,,questionable identification of a black sponge,TRUE
Geodia mesotriaena,,,,the most commonly encountered sponge of the expedition,FALSE
Haliclona ecbasis,,,,this species has apparently been reported from the Gulf by no one else,FALSE
Leucetta losangelensis,,,,"the most common calcareous sponge in the Gulf, and one of the most common sponges in the Tropical East Pacific",FALSE
*Porites californica “massive form”,,"P. porosa, a junior synonym",USNM,"S&R correctly noted this was the commonest coral on Gulf shores, occurring as dome-shaped encrusting heads 8 inches in diameter",FALSE
*Phyllactis concinnata,,,USNM,anemone,FALSE
*Telmatactis panamensis,,,USNM,anemone,FALSE
Stylochus sp. or spp.,,,,undescribed flatworm/Platyhelminthes; this might have been S. atentaculatus described by Hyman in 1953,FALSE
Baseodiscus mexicanus,,,,"the largest and most distinctive nemertean in the Gulf, and apparently the only species S&R collected",FALSE
*Themiste hennahi,holotype,"Dendrostoma lissum, sipunculan",USNM,type locality,FALSE
*Phascolosoma elachum,holotype,,USNM,sipunculan; type locality,FALSE
Phascolosoma agassizii,,"Physcosoma agassizii, a junior synonym",,,FALSE
"Phascolosoma sp., cf. P. gouldii",,,,"S&R speculated this was an undescribed species, but it may have been one of the other two species of Phascolosoma now known from the Gulf: P. nigrescens, P. perlucens, or even some other genus",FALSE
*Siphonides rickettsi,holotype,,USNM,sipunculan; type locality,FALSE
Ochetostoma edax,,,,type specimen of a new spoon worm,FALSE
Antillesoma antillarum,,"Physcosoma antillarium, a junior synonym",,a cosmopolitan species,FALSE
Iphione ovata,,,,a tropical scale worm,FALSE
Eurythoe complanata,,,,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE
Eunice afra,,,,a single specimen of this Gulf endemic polychaete was taken,FALSE
Eunice aphroditois,,,,,FALSE
Eunice schemacephala,,,,this is a tropical West Atlantic species and possibly was a misidentification; there are 2 dozen species of Eunice known from the Gulf today,TRUE
Oenone fulgida,,Aglaurides fulgida,,a Tropical East Pacific polychaete,FALSE
"Eualetes centiquadra, or another vermetid snail",,,,,FALSE
Chaetopleura limaciformis,,,,,FALSE
Heliaster kubiniji,,,,,FALSE
**Astrometis sertulifera,,,CAS,,FALSE
**Echinaster tenuispina,,,CAS,,FALSE
Phataria unifascialis,,,,,FALSE
Pharia pyramidata,,,,,FALSE
Mithrodia bradleyi,,,,,FALSE
Pentaceraster cumingi,,"Oreaster occidentalis, a junior synonym",,a widespread Tropical East Pacific species,FALSE
Ophiocoma aethiops,,,,,FALSE
Ophiocoma alexandri,,,,,FALSE
*Ophiothrix spiculata,,,USNM,,FALSE
Ophionereis annulata,,,,,FALSE
Ophioderma teres,,,,,FALSE
Ophioderma panamense,,,,"for some reason this is the only locality at which the expedition collected this very common littoral species, which occurs throughout the Gulf",FALSE
Eucidaris thouarsii,,,,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE
Echinometra vanbrunti,,,,,FALSE
Arbacia incisa,,,,,FALSE
Diadema mexicanum,,Centrechinus mexicanus,,"curiously, S&R collected this common, toxic-spined species only twice, at Punta Lobos and at Marcial Point",FALSE
Tripneustes gratilla,,Tripneustes depressus,,a trans-Pacific species; collected only at this locality,FALSE
Holothuria arenicola,,,,a circumtropical species common in the Gulf,FALSE
Holothuria difficilis,,,,"a circumtropical species, taken only at this locality",FALSE
Holothuria impatiens,,,,a circumtropical species; S&R describe this as the second most common sea cucumber from their expedition,FALSE
Holothuria kefersteini,,,,,FALSE
Holothuria lubrica,,Slenkothuria lubrica,,"the sulfur cucumber; the most common sea cucumber taken during the expedition, and the most widespread and abundant sea cucumber in the Gulf today. Ricketts’s field notes from this station read, “present by the millions.” One specimen had a commensal pearl fish living in it, Encheliophiops hancocki Reid.",FALSE
Holothuria languens,,,,two color varieties taken at Punta Lobos—“one was yellowish; the other mottled”,FALSE
Chiridota aponocrita,,,,"a small synaptid cucumber, taken only at this locality",FALSE
Isostichopus fuscus,,,,"not in Phyletic Catalogue, but identified by E. Deichmann",FALSE
*Neogonodactylus zacae,,"Gonodactylus oerstedii, which is actually a West Atlantic species",USNM,"the specimens were re-examined by Ray Manning in 1972 and described as the new species Gonodactylus zacae, later moved to Neogonodactylus",FALSE
*Neogonodactylus stanschi,,Gonodactylus stanschi,USNM,,FALSE
Tetraclita stalactifera,,Tetraclita squamosa stalactifera,,,FALSE
Chthamalus anisopoma,,,,,FALSE
Pontonia pinnae,,,,"a symbiont in the hatchet clam, Pinna",FALSE
Crangon sp. No. 1,,,,"likely an unknown species of caridean shrimp, but not a Crangon; many shrimps identified as Crangon by S&R proved to be alphaeid shrimps",FALSE
Crangon sp. No. 2,,,,"likely an unknown species of caridean shrimp, but not a Crangon; many shrimps identified as Crangon by S&R proved to be alphaeid shrimps",FALSE
Crangon sp. No. 3,,,,"likely an unknown species of caridean shrimp, but not a Crangon; many shrimps identified as Crangon by S&R proved to be alphaeid shrimps",FALSE
Synalpheus sanlucasi,,,,,FALSE
Calcinus californiensis,,,,one of the most distinctive and attractive hermit crabs in the Gulf,FALSE
Pleuroncodes planipes,,,,“carapaces found washed ashore in hordes”,FALSE
Petrolithes hirtispinosus,,,,a common porcelain crab in the Gulf,FALSE
Petrolisthes nigrunguiculatus,,,,a common porcelain crab in the Gulf,FALSE
Megalobrachium sinuimanus,,Pisonella sinuimanus,,,FALSE
Petrolisthes lewisi,,Pisosoma lewisi,,,FALSE
**Xanthodius cooksoni,,,CAS,,FALSE
Thoe sulcata,,,,,FALSE
Mithraculus denticulatus,,"Mithrax areolatus, a junior synonym",,common,FALSE
Microphrys platysoma,,,,,FALSE
Platypodiella rotundata,,Platypodia rotundata,,,FALSE
Xanthodius cooksoni,,"Leptodius cooksoni, a junior synonym",,,FALSE
Epixanthus tenuidactylus,,"Ozius tenuidactylos, a junior synonym",,,FALSE
**Eriphia squamata,,,CAS,"“old lumpy claws”; a very common, small, pugnacious xanthid crab ranging from the Upper Gulf to Peru",FALSE
Grapsus grapsus,,,,Sally Lightfoot crab; taken at all rocky shore stations,FALSE
Arcopsis solida,,"Fossularca solida, a junior synonym",,the common “garbanzo clam” of the Gulf,FALSE
Arca mutabilis,,"Navicula mutabilis, a junior synonym",,the “minute Zirfaea-like form” of the Narrative,FALSE
Pinna rugosa,,,,the principal commercial Gulf hacha,FALSE
Isognomon janus,,"I. anomioides, a junior synonym",,"very common, thin rock oyster on rocky shores in the Gulf",FALSE
Carditamera affinis,,Carditamera affinis californica,,"S&R considered this “the commonest bivalve in the Gulf”; common in Northern Gulf aboriginal shell middens, where they appear to have been fashioned into pendants",FALSE
